rho	e	Marginal pval	Multivariate pval	type
0	0	0.894402	0.8410993	Nonadmixed Indep
0	0	0.540406	0.03504174	Nonadmixed Indep
0	0	0.270471	0.4861976	Nonadmixed Indep
0	0	0.598403	0.7797223	Nonadmixed Indep
0	0	0.802293	0.9777945	Nonadmixed Indep
0	0	0.651212	0.8225845	Nonadmixed Indep
0	0	0.954776	0.05528537	Nonadmixed Indep
0	0	0.729646	0.9688109	Nonadmixed Indep
0	0	0.800359	0.9665617	Nonadmixed Indep
0	0	0.776377	0.275283	Nonadmixed Indep
0	0	0.948766	0.2925123	Nonadmixed Indep
0	0	0.219741	0.4838809	Nonadmixed Indep
0	0	0.687057	0.4884515	Nonadmixed Indep
0	0	0.318789	0.1730456	Nonadmixed Indep
0	0	0.201377	0.5656948	Nonadmixed Indep
0	0	0.49118	0.1985366	Nonadmixed Indep
0	0	0.00453389	0.1542224	Nonadmixed Indep
0	0	0.692338	0.8102152	Nonadmixed Indep
0	0	0.742405	0.6415314	Nonadmixed Indep
0	0	0.0451885	0.3222988	Nonadmixed Indep
0	0	0.502441	0.262892	Nonadmixed Indep
0	0	0.175735	0.4237877	Nonadmixed Indep
0	0	0.863494	0.7802369	Nonadmixed Indep
0	0	0.696252	0.5715109	Nonadmixed Indep
0	0	0.944749	0.8719177	Nonadmixed Indep
0	0	0.405211	0.9369172	Nonadmixed Indep
0	0	0.865132	0.5590043	Nonadmixed Indep
0	0	0.806546	0.1584902	Nonadmixed Indep
0	0	0.485585	0.06587151	Nonadmixed Indep
0	0	0.837449	0.9112027	Nonadmixed Indep
0	0	0.656886	0.7603966	Nonadmixed Indep
0	0	0.76154	0.1287265	Nonadmixed Indep
0	0	0.199871	0.3076686	Nonadmixed Indep
0	0	0.280228	0.3511907	Nonadmixed Indep
0	0	0.0677966	0.07307787	Nonadmixed Indep
0	0	0.362249	0.4621567	Nonadmixed Indep
0	0	0.794441	0.3511665	Nonadmixed Indep
0	0	0.600338	0.09020799	Nonadmixed Indep
